word_processed,freq
a,23
ab,2
abm,2
abram,3
acs,2
administered,4
administrator,2
administrators,14
advanced,2
ae,2
ael,6
agency,2
al,4
alb,3
allowance,3
am,3
amy,2
an,6
anaheim,2
and,180
angeles,7
ap,2
apc,52
apg,3
appeals,17
appointment,14
approved,2
ars,2
assaciates,6
assaclates,2
assoc,9
associa,2
associat,2
associates,86
association,2
assoclates,2
assoctates,2
assogiates,2
at,17
attorney,5
attorneys,11
atty,2
aug,2
authority,2
authorization,14
azizad,3
bax,2
bc,5
be,6
beach,7
bee,6
ben,2
benefit,3
berry,5
best,2
bh,3
bill,6
bluecross,2
blueshield,2
board,11
box,353
brea,2
business,6
by,14
ca,14
california,35
care,19
careworks,3
carolina,3
carrier,4
case,3
cases,3
casualty,3
center,17
centermt,4
centers,7
central,2
centre,2
certification,2
ch,2
chazen,21
check,3
chiro,2
ciaims,3
city,4
claim,36
claimplus,3
claims,413
clains,8
clalms,4
clams,4
clinic,19
clms,3
co,16
colantoni,2
collins,3
common,2
comp,6
companies,22
companion,3
company,48
compensation,95
compensationmedical,21
compensaton,2
compwestinsurance,3
concentra,2
concord,2
corp,9
corporation,27
correspondence,9
corvelcnty,2
country,2
county,4
court,4
cover,5
creek,2
cs,6
csc,4
ct,2
custodian,6
date,2
dba,2
dc,2
deceived,2
declaration,6
defense,2
dennis,2
department,37
dept,2
dgc,4
diagnostics,2
disability,4
discoe,2
district,8
division,78
do,3
document,8
drass,21
ecover,3
ed,3
edexisposdwcfcm,2
edt,3
ee,5
el,3
emergency,2
employment,2
energy,2
eric,4
erneton,2
ert,2
es,5
esq,22
estate,5
et,3
evaluation,4
examiner,3
explanation,3
ezshield,2
facs,2
farzinpour,2
fax,15
faxfindercloud,2
fc,4
federal,8
financial,3
fire,4
firm,22
fo,2
for,43
form,59
foundation,10
francisco,2
from,6
fund,14
gaims,4
ganext,2
gary,2
gerson,2
gf,2
gold,2
group,63
groups,2
guard,2
gumor,3
health,45
homestate,17
hospital,2
human,3
huntington,5
illinois,2
imaging,2
in,10
inc,543
inca,4
independent,2
industrial,18
industries,5
ine,4
information,3
ington,2
iniury,2
injured,2
instructions,2
insurance,112
internal,2
investigation,2
investigations,2
invoice,4
invoices,2
irving,2
is,4
ischommer,2
law,64
lawyers,8
legal,10
lep,2
letter,2
lien,3
limited,2
litigation,5
ll,3
llc,35
llf,3
llp,173
lnc,4
long,2
los,7
ltd,4
made,2
mail,5
managed,7
managemant,2
managemen,6
managemenl,2
management,425
managernent,5
managers,3
manukian,5
maragement,2
marenstein,6
md,47
me,2
med,4
medica,2
medical,62
medinsights,2
medrisk,3
meer,2
memphis,4
mgmt,2
motors,6
mulfilcom,2
must,2
mutual,2
national,3
ne,2
netwark,2
network,5
new,2
nextlevelinternet,2
nmr,2
no,2
noblequest,3
north,10
notice,7
notification,17
nov,7
november,3
ns,3
number,2
nuys,2
nvr,2
occupational,6
oct,2
october,4
oe,5
of,176
office,22
offices,8
oms,2
on,6
one,2
onecall,2
onecallcare,2
onecallcm,2
onecallem,2
oneteamfax,2
only,2
oo,3
opes,2
or,6
orthopedic,4
orthopedics,2
os,2
pa,9
page,5
paradigmeorp,2
partner,5
partners,6
payer,2
pc,98
permanente,2
pg,7
pharmacy,2
phd,2
physical,13
physicians,2
plan,9
plaza,2
plc,2
pleas,2
plus,2
pm,3
po,306
poc,2
primary,2
procedures,2
proceed,2
professional,7
proof,3
protection,3
provider,3
pt,2
qbe,5
qbeai,2
qme,17
quinl,2
rc,2
re,2
readiness,7
received,6
records,8
recs,2
referral,3
rehabwest,2
relations,17
release,2
rep,2
report,8
request,21
resources,2
review,13
rf,2
rfa,3
risk,2
riverside,4
roseville,2
rt,2
ry,2
sacramento,5
san,5
santa,3
sarthel,3
sb,2
scanstat,2
schanker,3
schommer,2
scott,4
se,2
see,2
seiler,2
send,9
senices,2
sep,7
september,2
server,4
service,15
services,488
shasta,4
sheet,10
snapshot,2
solutions,13
south,3
sox,3
specialist,2
ss,3
st,2
state,39
statement,5
stephanie,2
stephen,2
stern,2
street,2
suite,2
supplies,3
support,3
surgery,2
svcs,2
syn,2
tar,2
tcm,2
team,4
tesla,2
the,47
therapy,11
thu,2
tn,4
tnc,3
to,26
ton,2
tpa,2
transmission,2
treatment,4
trial,4
tulk,7
uniform,3
unit,23
united,3
ur,2
urgent,3
urichna,2
us,5
utilization,3
van,2
via,3
wai,3
walmart,14
wc,5
wcab,4
we,2
west,2
westlake,3
wicke,6
wintersteen,2
wintersteencasarez,2
work,4
worker,2
workers,68
worksheet,3
workwell,6
ww,2
yes,2
your,6
